bin1_id,bin2_id,bin1_mean,bin2_mean,WeiTot,WeiBlend
3,14,12.268200759537505,0.7005432409210844,143949.25894750655,49026.973233317956
3,15,12.264607541330227,0.728637591966797,143942.56902774982,48093.25611056574
3,16,12.261824108162926,0.7581168473682797,143942.4531450495,48140.62744322047
3,17,12.269339993579681,0.7894120405032589,143949.0642641373,47753.56789726764
3,18,12.265300816528402,0.8246414703442422,143945.65044476464,46567.534624625
3,19,12.269829852832746,0.8696071022975347,143944.56293208897,46016.28514499962
4,0,13.46515206169537,0.2324601395450373,144616.75163304806,55051.39930474758
4,1,13.463841198477674,0.3099123910166057,144614.78872281313,54281.31695377827
4,2,13.462858923399782,0.3547937034084753,144610.57485318184,53896.04628777504
4,3,13.464745651223767,0.3903519223617789,144613.21936447918,50967.90688979626
4,4,13.46238015985769,0.4215583919511255,144612.81743246317,51757.503552913666
